_id,ndc11,part,rxcui,acqDate,name,labeler,deaSchedule,attribution,mpc,ingredients,ingredientsAvailable,rxnavImageObjectId,rxnavImageFileName,rxnavImageSize,nlmImageObjectId,nlmImageFileName,nlmImageSize,rxnavImageSizeFull,nlmImageSizeFull,imageSize,rxnavImageSize1024,rxnavImageSize800,nlmImageSize800,rxnavImageSize600,nlmImageSize600,rxnavImageSize300,nlmImageSize300,rxnavImageSize120,nlmImageSize120,relabelersNdc9,status,splSetId,splRootId,splVersion
{'$oid': '5a32f688eb4525ea9e82beed'},00093-0812-01,1,198046,12-02-2009,Nortriptyline 50 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 19, 'color': 'WHITE', 'imprint': '50;mg;93;812', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['nortriptyline hydrochloride 50 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide']}",True,185646464,00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,566619,168840762,00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,414612,566619,414612.0,4763.0,202239,129028,90711.0,80001,56551.0,25534,18532.0,5123,4763.0,"[{'@sourceNdc9': '00093-0812', 'ndc9': ['33261-0692', '49349-0501', '58118-1812', '61919-0238', '63629-4276', '68788-9879', '63187-0759']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82beee'},00093-0813-01,1,198047,12-02-2009,Nortriptyline 75 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 19, 'color': 'ORANGE', 'imprint': '75;mg;93;813', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['nortriptyline hydrochloride 75 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']}",True,185646463,00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,665742,168874528,00093-0813-01_NLMIMAGE10_D626EB47.jpg,554077,665742,554077.0,6715.0,241215,156764,118953.0,97762,73805.0,31870,25206.0,6863,6715.0,"[{'@sourceNdc9': '00093-0813', 'ndc9': ['33261-0804', '58118-0813', '61786-0020']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82beef'},00185-0615-01,1,995278,12-02-2009,Hydroxyzine Pamoate 50 MG Oral Capsule,"Eon Labs, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 15, 'color': 'GREEN, WHITE', 'imprint': 'E615', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['hydroxyzine pamoate 50 mg'], 'inactive': ['silicon dioxide', 'd&c yellow no. 10', 'fd&c green no. 3', 'fd&c yellow no. 6', 'gelatin', 'hydroxypropyl cellulose', 'lactose monohydrate', 'magnesium stearate', 'propylene glycol', 'sodium lauryl sulfate', 'sodium starch glycolate type a potato', 'titanium dioxide']}",True,185670630,00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,612608,168893414,00185-0615-01_NLMIMAGE10_4F34A795.jpg,472073,612608,472073.0,4855.0,225966,145148,98276.0,89498,59951.0,27701,18832.0,5757,4855.0,"[{'@sourceNdc9': '00185-0615', 'ndc9': ['00615-0332', '33261-0858', '54569-2571', '54868-1854', '55289-0354', '58118-0615', '61786-0446', '62584-0741', '67046-0282', '68788-0523', '12634-0833', '69189-0615', '50090-0374', '52125-0975']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef0'},00185-0613-01,1,995253,12-02-2009,Hydroxyzine Pamoate 25 MG Oral Capsule,"Eon Labs, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 15, 'color': 'GREEN, GREEN', 'imprint': 'E613', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['hydroxyzine pamoate 25 mg'], 'inactive': ['silicon dioxide', 'd&c yellow no. 10', 'fd&c green no. 3', 'fd&c yellow no. 6', 'gelatin', 'hydroxypropyl cellulose', 'lactose monohydrate', 'magnesium stearate', 'propylene glycol', 'sodium lauryl sulfate', 'sodium starch glycolate type a potato', 'titanium dioxide']}",True,185671078,00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,667751,168893862,00185-0613-01_NLMIMAGE10_F634FB07.jpg,527002,667751,527002.0,5229.0,245397,157038,109676.0,96415,66530.0,29396,20558.0,6025,5229.0,"[{'@sourceNdc9': '00185-0613', 'ndc9': ['00615-0331', '16590-0357', '24236-0341', '43063-0406', '54569-2353', '54868-2892', '58118-0613', '62584-0739', '67046-0281', '68788-9129']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef1'},00603-3855-21,1,199903,12-02-2009,Hydrochlorothiazide 12.5 MG Oral Capsule,"Qualitest Pharmaceutical, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 14, 'color': 'BLUE', 'imprint': 'V;3566', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['hydrochlorothiazide 12.5 mg'], 'inactive': ['docusate sodium', 'lactose monohydrate', 'magnesium stearate', 'cellulose, microcrystalline', 'starch, corn', 'sodium benzoate', 'd&c red no. 28', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'titanium dioxide']}",True,185670791,00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,629750,168893575,00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,490283,629750,490283.0,5615.0,231083,148209,102069.0,91712,62641.0,28684,20022.0,6054,5615.0,"[{'@sourceNdc9': '00603-3855', 'ndc9': ['33261-0738', '43353-0635', '53808-0419', '53808-0841', '67296-0556', '68084-0398', '68645-0340', '50090-0723']}]",,2ca0f72d-b789-4a25-8ab1-be448aeea35c,5875068a-1d62-4290-8a8b-ebd0f84c1d79,13.0
{'$oid': '5a32f688eb4525ea9e82bef2'},53489-0118-02,1,1649405,12-02-2009,doxycycline hyclate 50 MG Oral Capsule,"Mutual Pharmaceutical Company, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 18, 'color': 'BLUE, WHITE', 'imprint': 'MUTUAL;100;MUTUAL;100', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185671091,53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,625986,168893875,53489-0118-02_NLMIMAGE10_FA34FD77.jpg,475608,625986,475608.0,5222.0,230103,148322,98075.0,91926,60612.0,29363,19772.0,5926,5222.0,"[{'@sourceNdc9': '53489-0118', 'ndc9': ['42291-0249', '50090-0027', '50268-0277', '54569-0147', '66336-0558']}]",,214a9cfe-a522-4022-81d4-e59f447401fe,61ac1613-6418-46a9-9f6e-d27845d70bd8,13.0
{'$oid': '5a32f688eb4525ea9e82bef3'},53489-0119-02,1,1649988,12-02-2009,doxycycline hyclate 100 MG Oral Capsule,"Mutual Pharmaceutical Company, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 22, 'color': 'BLUE', 'imprint': 'MUTUAL;105; MUTUAL;105', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185670553,53489-0119-02_RXNAVIMAGE10_333499B4.jpg,685437,168893337,53489-0119-02_NLMIMAGE10_333499B4.jpg,538233,685437,538233.0,5361.0,241616,156857,107448.0,96211,65477.0,30681,21568.0,6312,5361.0,"[{'@sourceNdc9': '53489-0119', 'ndc9': ['10544-0060', '42291-0250', '45865-0444', '49999-0126', '50090-0298', '50090-0299', '50268-0278', '52125-0135', '52125-0457', '61919-0082', '75921-0119']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef4'},00591-5440-50,1,1649988,12-02-2009,doxycycline hyclate 100 MG Oral Capsule,"Watson Laboratories, Inc.",,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 22, 'color': 'BLUE', 'imprint': 'DAN;5440;DAN;5440', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['doxycycline hyclate 100 mg'], 'inactive': ['fd&c blue no. 1', 'gelatin', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'magnesium stearate', 'cellulose, microcrystalline']}",True,185670913,00591-5440-50_RXNAVIMAGE10_B834DC76.jpg,710105,168893697,00591-5440-50_NLMIMAGE10_B834DC76.jpg,568471,710105,568471.0,5988.0,253333,164495,115600.0,101306,71110.0,32147,23226.0,6557,5988.0,"[{'@sourceNdc9': '00591-5440', 'ndc9': ['49349-0949', '51655-0184', '53808-0962', '54569-1840', '54868-0023', '55154-2650', '60687-0118', '64725-5440']}]",,a569ba80-ffea-40b2-9fbe-a42810b1fccb,9a4899a9-a5cc-4c78-bde2-a7e3ba44710e,16.0
{'$oid': '5a32f688eb4525ea9e82bef5'},00781-2823-13,1,310384,12-02-2009,Fluoxetine 10 MG Oral Capsule,Sandoz Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 16, 'color': 'WHITE, GREEN', 'imprint': 'GG;575;GG;575', 'imprintColor': 'GREEN', 'imprintType': 'PRINTED', 'symbol': True, 'score': 1}","{'active': ['fluoxetine hydrochloride 10 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'magnesium stearate', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide']}",True,185671054,00781-2823-13_RXNAVIMAGE10_ED34F687.jpg,581057,168893838,00781-2823-13_NLMIMAGE10_ED34F687.jpg,438753,581057,438753.0,4837.0,214223,136943,90011.0,84709,55433.0,27133,18134.0,5608,4837.0,"[{'@sourceNdc9': '00781-2823', 'ndc9': ['43063-0216', '43353-0637', '53808-0366', '61919-0099']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef6'},00781-2822-13,1,310385,12-02-2009,Fluoxetine 20 MG Oral Capsule,Sandoz Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 16, 'color': 'WHITE, GREEN', 'imprint': 'GG;550', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': True, 'score': 1}","{'active': ['fluoxetine hydrochloride 20 mg'], 'inactive': ['ferrosoferric oxide', 'starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide']}",True,185671067,00781-2822-13_RXNAVIMAGE10_F134F8F7.jpg,587291,168893851,00781-2822-13_NLMIMAGE10_F134F8F7.jpg,448315,587291,448315.0,4699.0,218827,140357,95194.0,86867,58551.0,27568,18873.0,5512,4699.0,"[{'@sourceNdc9': '00781-2822', 'ndc9': ['49999-0128', '55289-0610', '67544-0848', '50090-0743']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef7'},00781-2824-10,1,313989,12-02-2009,Fluoxetine 40 MG Oral Capsule,Sandoz Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 19, 'color': 'WHITE, ORANGE', 'imprint': 'GG540', 'imprintColor': 'ORANGE', 'imprintType': 'PRINTED', 'symbol': True, 'score': 1}","{'active': ['fluoxetine hydrochloride 40 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'magnesium stearate', 'propylene glycol', 'ferric oxide red', 'shellac', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'ferric oxide yellow']}",True,185670754,00781-2824-10_RXNAVIMAGE10_7D34BED5.jpg,615322,168893538,00781-2824-10_NLMIMAGE10_7D34BED5.jpg,479242,615322,479242.0,6480.0,231895,152263,106539.0,95801,67557.0,32369,23804.0,7151,6480.0,"[{'@sourceNdc9': '00781-2824', 'ndc9': ['00615-1387']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef8'},00781-2074-01,1,198316,12-02-2009,Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,Sandoz Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 14, 'color': 'WHITE, BLACK', 'imprint': 'GG;606;GG;606', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': True, 'score': 1}","{'active': ['triamterene 37.5 mg', 'hydrochlorothiazide 25 mg'], 'inactive': ['anhydrous lactose', 'citric acid monohydrate', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'ferrosoferric oxide', 'gelatin', 'glycine', 'magnesium stearate', 'polysorbate 80', 'povidone', 'propylene glycol', 'shellac', 'sodium starch glycolate type a potato', 'starch, corn', 'titanium dioxide']}",True,185670841,00781-2074-01_RXNAVIMAGE10_9D34CEF6.jpg,602989,168893625,00781-2074-01_NLMIMAGE10_9D34CEF6.jpg,445007,602989,445007.0,5128.0,233019,151533,99727.0,95286,62240.0,29511,19660.0,5912,5128.0,"[{'@sourceNdc9': '00781-2074', 'ndc9': ['21695-0839', '35356-0974', '45865-0402', '53808-0803', '54868-5113', '63187-0465', '63629-1507', '50090-0523']}]",,,,
{'$oid': '5a32f688eb4525ea9e82bef9'},00093-3147-01,1,309114,12-02-2009,Cephalexin 500 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 21, 'color': 'ORANGE', 'imprint': '93;3147;93;3147', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['cephalexin 500 mg'], 'inactive': ['magnesium stearate', 'silicon dioxide', 'sodium starch glycolate type a potato', 'ferrosoferric oxide', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'carboxymethylcellulose sodium', 'sodium lauryl sulfate', 'titanium dioxide', 'propylene glycol']}",True,185646439,00093-3147-01_RXNAVIMAGE10_24231258.jpg,663458,168855822,00093-3147-01_NLMIMAGE10_C51962CB.jpg,508952,663458,508952.0,5964.0,243152,158606,106405.0,99550,66903.0,33051,22733.0,7104,5964.0,"[{'@sourceNdc9': '00093-3147', 'ndc9': ['10544-0020', '35356-0980', '42549-0565', '53808-0222', '55289-0058', '60429-0037', '66116-0255', '69189-3147', '53217-0207']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82befa'},00093-4356-01,1,0,12-02-2009,,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 16, 'color': 'BLUE', 'imprint': '4356;20;mg', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': True, 'score': 1}","{'active': ['fluoxetine hydrochloride 20 mg'], 'inactive': ['ferrosoferric oxide', 'silicon dioxide', 'starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'shellac', 'sodium lauryl sulfate', 'titanium dioxide']}",True,185643596,00093-4356-01_RXNAVIMAGE10_0E210728.jpg,610292,168866380,00093-4356-01_NLMIMAGE10_0E210728.jpg,491283,610292,491283.0,6108.0,226883,147428,107467.0,91094,66374.0,29704,21955.0,6521,6108.0,"[{'@sourceNdc9': '00093-4356', 'ndc9': ['00179-0060', '00615-1357', '16590-0100', '67046-0211']}]",,,,
